symbol,direction,entry_price,rsi,atr,macd,trend_score,momentum_score,volatility_score,session,sl,tp,mfe,mae,label
EURUSD,BUY,1.164687,61.810331,0.000929,0.000604,65.0,11.810331,0.000487,asia,1.16329,1.16701,0.002447,0.0,1
EURUSD,BUY,1.166861,73.181594,0.000747,0.000774,75.0,23.181594,0.000415,asia,1.16574,1.16873,0.000272,-0.00136,0
EURUSD,BUY,1.164415,42.567164,0.001,0.000485,65.0,7.432836,0.000541,london,1.16292,1.16692,0.002582,-0.00149,1
EURUSD,BUY,1.165637,48.214621,0.001213,0.000407,40.0,1.785379,0.000628,asia,1.16382,1.16867,0.000816,-0.00217,0
EURUSD,BUY,1.163738,25.666464,0.000796,-0.000216,75.0,24.333536,0.000635,asia,1.16254,1.16573,0.001084,-0.001353,0
EURUSD,SELL,1.163738,39.650362,0.000988,-0.000499,65.0,10.349638,0.000528,london,1.16522,1.16127,0.000135,0.0,0
EURUSD,SELL,1.160362,40.210933,0.001749,-0.000985,65.0,9.789067,0.001191,asia,1.16299,1.15599,0.000269,0.0,0
EURUSD,SELL,1.163603,42.994002,0.001563,-0.000844,65.0,7.005998,0.001243,asia,1.16595,1.1597,0.0078,-0.003375,1
EURUSD,SELL,1.155802,28.653929,0.001386,-0.001158,75.0,21.346071,0.00135,london,1.15788,1.15234,0.000668,0.0,0
EURUSD,SELL,1.156872,26.908713,0.001525,-0.001758,75.0,23.091287,0.001059,asia,1.15916,1.15306,0.004267,-0.002404,1
EURUSD,SELL,1.157541,50.0,0.000823,-0.001152,40.0,0.0,0.001003,asia,1.15878,1.15548,0.004139,-0.001606,1
EURUSD,SELL,1.155802,40.011752,0.000956,-0.000944,65.0,9.988248,0.000426,london,1.15724,1.15341,0.0024,0.0,1
EURUSD,SELL,1.154335,38.886477,0.001267,-0.001454,65.0,11.113523,0.000603,asia,1.15624,1.15117,0.003189,-0.002128,1
EURUSD,SELL,1.154201,53.063015,0.000836,-0.000785,40.0,3.063015,0.000634,asia,1.15546,1.15211,0.002791,-0.000133,1
EURUSD,SELL,1.15141,35.916481,0.000864,-0.001218,65.0,14.083519,0.000685,new_york,1.15271,1.14925,0.000398,0.0,0
EURUSD,SELL,1.152339,57.137728,0.000853,-0.000626,65.0,7.137728,0.000633,asia,1.15362,1.15021,0.003046,-0.001459,1
