feature,missing_pct,variance,std,zero_pct,unique_count,corr_with_label,constant,near_constant
h1_ema_12,0.0,3593787.5661317203,1895.7287691364818,0.0,24851,0.026069715783572936,False,False
h1_ema_26,0.0,3592087.3846099614,1895.2802918328364,0.0,24851,0.024501376524380475,False,False
h1_ema_50,0.0,3589142.327678744,1894.503187560988,0.0,24851,0.02282038600719179,False,False
h1_sma_20,0.0,3592975.300420083,1895.51452128969,0.0,24651,0.024859392311669806,False,False
h1_sma_50,0.0,3589461.242685487,1894.5873541976066,0.0,24755,0.02206269869508686,False,False
h1_sma_200,0.0,3571772.9618319534,1889.913479985778,0.0,24808,0.01918664085914774,False,False
h1_momentum,0.0,705.9428311633379,26.56958470061845,0.8450364170455917,17978,0.2309923574896701,False,False
h1_cci_20,0.0,13191.162665480675,114.85278692953287,0.0,24851,0.5024951443501632,False,False
h1_stoch_k_14,0.0,896.2199698880156,29.93693320779561,1.2675546255683876,23291,0.44753875832278084,False,False
h1_stoch_d_14,0.0,775.9944601895759,27.856677120388497,0.0,24726,0.4708891252344053,False,False
h1_bollinger_width_20,0.0,0.0001220783463638856,0.011048907021234525,0.0,24704,0.030214121991245787,False,False
lag1_rsi_14,0.0,157.2167796710094,12.538611552760115,0.0,24197,0.6245558604678803,False,False
lag2_rsi_14,0.0,157.17914986358664,12.537110905770382,0.0,24197,0.6064622831190387,False,False
lag3_rsi_14,0.0,157.1635552007682,12.536488950290995,0.0,24198,0.5862569899041953,False,False
lag1_atr_14,0.0,151.4773851189111,12.307614924058646,0.0,24851,-0.003188588315806194,False,False
lag2_atr_14,0.0,151.47303312057957,12.307438121744898,0.0,24851,-0.002362660348131979,False,False
lag3_atr_14,0.0,151.46949672212335,12.30729445175191,0.0,24851,-0.0015099669947216717,False,False
lag1_adx_14,0.0,120.37435370957049,10.971524675703487,0.0,24851,0.04571409061249573,False,False
lag2_adx_14,0.0,120.3873540944687,10.972117119975922,0.0,24851,0.044357899411331884,False,False
lag3_adx_14,0.0,120.3980882267678,10.972606264090944,0.0,24851,0.043018043247900185,False,False
lag1_macd,0.0,101.06067058609526,10.052893642434265,0.0,24851,0.2874731555548192,False,False
lag2_macd,0.0,101.04316928917389,10.052023144082682,0.0,24851,0.27790684366642454,False,False
lag3_macd,0.0,101.03078423250687,10.051407077245797,0.0,24851,0.2685104414930925,False,False
lag1_momentum,0.0,705.7649039692539,26.56623616490025,0.8450364170455917,17977,0.22579035171975217,False,False
lag2_momentum,0.0,705.6121747174989,26.56336151012328,0.8450364170455917,17976,0.21846337938657379,False,False
lag3_momentum,0.0,705.5598910529045,26.562377360712738,0.8450364170455917,17976,0.21155126223054088,False,False
delta_rsi_14,0.0,22.671894970762217,4.761501335793388,2.591445012273148,24051,0.042824078970912643,False,False
delta_atr_14,0.0,0.32353462076306344,0.5688010379412677,0.0,24851,-0.01858423913197466,False,False
delta_adx_14,0.0,1.2450789332764027,1.1158310505073799,0.0,24851,0.017791919136816534,False,False
delta_macd,0.0,1.153851892525933,1.0741749822658937,0.0,24851,0.08769251602767301,False,False
delta_momentum,0.0,142.00695950850564,11.916667298725162,0.3661824473864231,17183,0.011661918260430908,False,False
rsi_x_adx,0.0,519931.8439532342,721.0629958285435,0.0,24851,0.3946690609351378,False,False
atr_x_trend,0.0,3083054165.664646,55525.25700674105,0.0,24851,-0.012432639814974611,False,False
macd_x_momentum,0.0,2028752.7182701859,1424.3429075437507,0.8450364170455917,24642,-0.004340297452028553,False,False
rsi_x_atr,0.0,400060.8643005116,632.5036476578705,0.0,24851,0.08321653460031868,False,False
trend_x_session,0.0,17143424.010213614,4140.461811225122,0.0,24851,0.019848535599073493,False,False
volatility_x_momentum,0.0,2015574.7841701154,1419.7094013107455,0.8450364170455917,24642,0.12832882609098184,False,False
trend_agree_h4_h1,0.0,0.09994547665852595,0.31614154529027966,11.263128244336244,2,0.03654454869404033,False,False
day_of_week,0.0,2.0794323285934304,1.4420236921054488,20.047482998672088,6,-0.04644216947011569,False,False
hour,0.0,46.69979288786025,6.833724671645782,4.241278016981208,24,0.0023914871665948268,False,False
session_encoded,0.0,0.6588910047134715,0.811721014088875,0.0,3,0.0016101254364939855,False,False
symbol_encoded,0.0,0.6589291281911182,0.8117444968653118,0.0,3,0.036812373091198,False,False
